policy,sample,rmse,hotspot_recall,top_risk_precision,redundancy_rate
random,1,2.787702369617994,0.008333333333333333,0.08333333333333334,0.0
random,2,2.7208813238443272,0.016666666666666666,0.1,0.0
random,3,2.6336466577769553,0.016666666666666666,0.15,0.0
random,4,2.4912657438684276,0.025,0.15833333333333333,0.0
random,5,2.2542279050389693,0.049999999999999996,0.2583333333333334,0.0
random,6,2.15964748693415,0.05833333333333333,0.30000000000000004,0.0
random,7,2.12795880452698,0.05833333333333333,0.32500000000000007,0.0
random,8,2.0831378295507235,0.08333333333333333,0.33333333333333337,0.0
random,9,1.87191036820585,0.1,0.4083333333333334,0.0
random,10,1.8535982397918762,0.1,0.4166666666666667,0.0
random,11,1.8172663309599788,0.1,0.4000000000000001,0.0
random,12,1.74857503207132,0.10833333333333332,0.425,0.0
random,13,1.7451675623900236,0.11666666666666665,0.4166666666666667,0.0
random,14,1.699567031149968,0.11666666666666665,0.4083333333333334,0.0
random,15,1.6898578815439165,0.13333333333333336,0.4083333333333334,0.0
random,16,1.5307786262117085,0.17500000000000002,0.4916666666666667,0.0
random,17,1.5034092659952454,0.18333333333333335,0.4916666666666667,0.0
random,18,1.447288046094211,0.19166666666666668,0.4916666666666667,0.0
random,19,1.387362691919882,0.21666666666666665,0.5416666666666667,0.0
random,20,1.3816493251031425,0.225,0.5416666666666667,0.0
random,21,1.3490921437585786,0.2333333333333333,0.55,0.0
random,22,1.3558749477439833,0.2333333333333333,0.5333333333333334,0.0
random,23,1.2892051358230638,0.24166666666666664,0.5666666666666667,0.0
random,24,1.2540684445863919,0.27499999999999997,0.575,0.0
random,25,1.248654587302086,0.2833333333333333,0.575,0.0
random,26,1.2209736132351992,0.3,0.5833333333333334,0.0
random,27,1.200990029574894,0.31666666666666665,0.5833333333333333,0.0
random,28,1.2040161609610165,0.31666666666666665,0.5833333333333333,0.0
random,29,1.203418927678824,0.325,0.5916666666666667,0.0
random,30,1.1849718619847198,0.33333333333333337,0.5750000000000001,0.0
random,31,1.176799548761791,0.33333333333333337,0.5833333333333333,0.0
random,32,1.117466630611787,0.3416666666666667,0.5833333333333333,0.0
random,33,1.070490229625203,0.35,0.6083333333333333,0.0
random,34,1.0682254054807454,0.3583333333333333,0.6166666666666667,0.0
random,35,1.0585151059961113,0.3666666666666666,0.6166666666666667,0.0
random,36,1.0268942448984113,0.37499999999999994,0.6249999999999999,0.0
random,37,1.0309206665056498,0.37499999999999994,0.6166666666666667,0.0
random,38,1.0285916087060463,0.37499999999999994,0.6166666666666667,0.0
random,39,1.0268152624203188,0.37499999999999994,0.625,0.0
random,40,1.0194478505723579,0.39999999999999997,0.6416666666666667,0.0
grid,1,2.575671793520084,0.008333333333333333,0.19166666666666665,0.0
grid,2,2.5766010476187526,0.008333333333333333,0.1833333333333333,0.0
grid,3,2.5742989293835197,0.008333333333333333,0.1833333333333333,0.0
grid,4,2.5727848306017678,0.008333333333333333,0.19166666666666665,0.0
grid,5,2.5722103260889235,0.008333333333333333,0.2,0.0
grid,6,2.50459894686192,0.008333333333333333,0.13333333333333333,0.0
grid,7,2.4608389131851722,0.008333333333333333,0.13333333333333333,0.0
grid,8,2.3578151094482256,0.008333333333333333,0.19166666666666665,0.0
grid,9,2.31727848449101,0.016666666666666666,0.2,0.0
grid,10,2.2261081348244556,0.016666666666666666,0.175,0.0
grid,11,2.0788774721981467,0.025,0.23333333333333334,0.0
grid,12,1.9942965768933498,0.025,0.2416666666666667,0.0
grid,13,1.8028057215622781,0.03333333333333333,0.29166666666666663,0.0
grid,14,1.752853875345155,0.049999999999999996,0.31666666666666665,0.0
grid,15,1.728274968121309,0.049999999999999996,0.31666666666666665,0.0
grid,16,1.4262943260488483,0.09166666666666666,0.4666666666666667,0.0
grid,17,1.3707763549770557,0.1,0.5083333333333333,0.0
grid,18,1.2106983159617406,0.10833333333333332,0.575,0.0
grid,19,1.1262533533848718,0.13333333333333333,0.5916666666666667,0.0
grid,20,1.1095904714724727,0.13333333333333333,0.5833333333333333,0.0
grid,21,1.0783240271362176,0.13333333333333333,0.5999999999999999,0.0
grid,22,1.0616568442947725,0.13333333333333333,0.6,0.0
grid,23,1.0545775341486663,0.13333333333333333,0.6,0.0
grid,24,1.051354693155294,0.14166666666666666,0.6,0.0
grid,25,1.0486267760255985,0.14999999999999997,0.6333333333333333,0.0
grid,26,0.9854397868948508,0.1833333333333333,0.6416666666666666,0.0
grid,27,0.9659460757604899,0.19166666666666662,0.6583333333333333,0.0
grid,28,0.9634156035743798,0.19166666666666662,0.6333333333333333,0.0
